date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,stake,potential_profit_if_win,status,win,pnl,settled_at,game_key
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-11,POR,NYK,0.64,0.6506024096385542,0.6506024096385542,2.6,69.15662650602408,100.0,160.0,SETTLED,0.0,-100.0,2026-01-11,2026-01-11_POR_NYK
2026-01-12,TOR,PHI,0.5,0.625,0.625,2.3,43.74999999999999,100.0,130.0,SETTLED,0.0,-100.0,2026-01-12,2026-01-12_TOR_PHI
2026-01-12,TOR,PHI,0.5,0.625,0.625,2.3,43.74999999999999,100.0,130.0,SETTLED,0.0,-100.0,2026-01-12,2026-01-12_TOR_PHI
2026-01-12,TOR,PHI,0.5,0.625,0.625,2.3,43.74999999999999,100.0,130.0,SETTLED,0.0,-100.0,2026-01-12,2026-01-12_TOR_PHI
2026-01-12,TOR,PHI,0.5,0.625,0.625,2.3,43.74999999999999,100.0,130.0,SETTLED,0.0,-100.0,2026-01-12,2026-01-12_TOR_PHI
2026-01-12,TOR,PHI,0.5,0.625,0.625,2.3,43.74999999999999,100.0,130.0,SETTLED,0.0,-100.0,2026-01-12,2026-01-12_TOR_PHI
